clade,species,complete_genomes,synced,genoforms,inversions
Gamma,Escherichia_coli,2761,2782,193,88917
Gamma,Salmonella_enterica,1571,1525,83,13428
Gamma,Klebsiella_pneumoniae,1518,1480,99,15944
Firmicutes,Staphylococcus_aureus,1209,1352,41,3404
Beta,Bordetella_pertussis,811,993,99,16848
Gamma,Pseudomonas_aeruginosa,466,463,68,11281
Gamma,Acinetobacter_baumannii,449,448,53,5709
Epsilon,Helicobacter_pylori,351,344,45,4761
Actinobacteria,Mycobacterium_tuberculosis,321,325,5,20
Epsilon,Campylobacter_jejuni,297,303,6,129
Firmicutes,Enterococcus_faecium,279,278,22,598
Firmicutes,Listeria_monocytogenes,281,274,28,1732
Firmicutes,Streptococcus_pyogenes,253,253,20,599
Firmicutes,Bacillus_velezensis,235,236,14,466
Gamma,Enterobacter_hormaechei,215,215,27,1104
Firmicutes,Bacillus_subtilis,210,210,5,48
Firmicutes,Lactiplantibacillus_plantarum,182,182,12,131
Firmicutes,Streptococcus_pneumoniae,135,135,15,304
Firmicutes,Enterococcus_faecalis,131,131,10,149
Beta,Neisseria_meningitidis,127,127,16,364
Beta,Burkholderia_pseudomallei,129,126,6,33
Firmicutes,Bacillus_cereus,116,120,5,16
Firmicutes,Staphylococcus_epidermidis,117,116,8,51
Gamma,Serratia_marcescens,117,116,8,81
Gamma,Pasteurella_multocida,115,116,22,1220
Actinobacteria,Corynebacterium_pseudotuberculosis,114,114,6,30
Gamma,Xanthomonas_oryzae,111,112,39,7243
Beta,Ralstonia_solanacearum,108,111,18,988
Gamma,Enterobacter_cloacae,103,106,22,943
Gamma,Citrobacter_freundii,105,106,17,495
Gamma,Legionella_pneumophila,104,104,4,16
Firmicutes,Staphylococcus_pseudintermedius,104,102,2,1
Firmicutes,Bacillus_anthracis,102,102,5,16
Gamma,Mannheimia_haemolytica,102,102,24,1176
Firmicutes,Clostridioides_difficile,105,101,2,2
Gamma,Vibrio_cholerae,104,100,10,127
Firmicutes,Streptococcus_suis,100,99,29,2425
Firmicutes,Streptococcus_agalactiae,95,96,6,37
Gamma,Xanthomonas_citri,95,94,NA,NA
Verrucomicrobia,Akkermansia_muciniphila,95,94,12,265
Gamma,Haemophilus_influenzae,92,92,16,824
Chlamydiae,Chlamydia_trachomatis,91,91,NA,NA
Beta,Bordetella_parapertussis,90,90,6,57
Gamma,Proteus_mirabilis,87,87,6,34
Gamma,Klebsiella_quasipneumoniae,86,85,6,33
Gamma,Shigella_flexneri,86,84,30,2782
Beta,Neisseria_gonorrhoeae,82,82,12,232
Gamma,Piscirickettsia_salmonis,80,80,16,759
Firmicutes,Streptococcus_thermophilus,79,79,6,27
Tenericutes,Mycoplasma_pneumoniae,79,79,NA,NA
Actinobacteria,Bifidobacterium_longum,78,78,6,30
Gamma,Vibrio_parahaemolyticus,76,76,8,114
Firmicutes,Bacillus_thuringiensis,73,72,6,38
Actinobacteria,Mycobacteroides_abscessus,69,69,6,24
Beta,Bordetella_holmesii,67,68,8,54
Gamma,Klebsiella_variicola,66,65,6,36
Firmicutes,Bacillus_amyloliquefaciens,66,65,4,13
Alpha,Brucella_melitensis,65,64,2,1
Gamma,Stenotrophomonas_maltophilia,64,63,5,25
Gamma,Francisella_tularensis,61,61,9,346
Epsilon,Campylobacter_coli,59,58,10,244
Firmicutes,Lactococcus_lactis,60,58,11,151
Firmicutes,Clostridium_botulinum,57,57,6,27
Gamma,Pseudomonas_chlororaphis,55,56,7,109
Gamma,Yersinia_pestis,56,56,49,12897
Alpha,Wolbachia_endosymbiont,56,56,24,1412
Firmicutes,Lacticaseibacillus_paracasei,54,54,6,32
Gamma,Aeromonas_hydrophila,52,53,17,588
Gamma,Escherichia_fergusonii,51,52,5,23
Gamma,Pseudomonas_putida,51,50,31,3107
Bacteroidetes,Elizabethkingia_anophelis,50,50,NA,NA
Firmicutes,Clostridium_perfringens,50,49,2,1
Gamma,Morganella_morganii,48,49,7,61
Beta,Burkholderia_multivorans,48,48,7,49
Gamma,Pseudomonas_syringae,47,47,26,3087
Actinobacteria,Bifidobacterium_breve,46,46,4,9
Alpha,Pseudosulfitobacter_pseudonitzschiae,46,46,3,12
Firmicutes,Bacillus_mycoides,45,45,2,2
Tenericutes,Mycoplasmopsis_bovis,43,44,4,10
Actinobacteria,Mycobacterium_avium,41,42,14,499
Gamma,Klebsiella_oxytoca,41,41,3,4
Actinobacteria,Mycobacterium_intracellulare,41,41,3,6
Gamma,Klebsiella_aerogenes,40,40,7,82
Gamma,Klebsiella_michiganensis,39,40,3,12
Gamma,Xylella_fastidiosa,40,40,12,282
Gamma,Vibrio_alginolyticus,42,39,4,15
Actinobacteria,Corynebacterium_diphtheriae,41,38,5,26
Gamma,Aeromonas_caviae,36,38,17,702
Alpha,Rhizobium_leguminosarum,37,38,2,0
Gamma,Buchnera_aphidicola,43,38,NA,NA
Firmicutes,Bacillus_licheniformis,37,37,3,6
Gamma,Shigella_sonnei,36,37,12,261
Firmicutes,Lacticaseibacillus_rhamnosus,38,37,NA,NA
Firmicutes,Limosilactobacillus_fermentum,35,36,5,66
Spirochaetes,Leptospira_interrogans,36,36,12,255
Gamma,Acinetobacter_pittii,34,35,3,3
Tenericutes,Mycoplasma_mycoides,35,35,4,16
Gamma,Providencia_rettgeri,33,35,8,109
Actinobacteria,Corynebacterium_glutamicum,34,34,NA,NA
Actinobacteria,Bifidobacterium_animalis,34,34,2,1
Actinobacteria,Clavibacter_michiganensis,34,34,5,66
Gamma,Actinobacillus_pleuropneumoniae,34,34,10,152
Gamma,Xanthomonas_campestris,33,33,14,309
Firmicutes,Streptococcus_equi,31,32,5,17
Bacteroidetes,Riemerella_anatipestifer,32,32,9,303
